ID,Denumirea
A_1,Carpino-Fagetum silvaticae Paucă 1941,
A_2,Querco (roboris)-Carpinetum Soó et Poćs (1931) 1957,
A_3,Carpino-Quercetum petraea Borza 1941,
A_4,Tilio tomentosae-Carpinetum Doniță 1968,
A_5,Pruno spinosae-Cratagetum monogynae (Soó 1927) Hueck 1931,
A_6,Quercetum (petraea)-Tilio-Fraxinetum Gheideman et al. 1964,
A_7,Quercetum (petraea)-Carpinetum Soó et Poćs 1957,
A_8,Querco (roboris)-Carpinetum Soó et Poćs 1957,
A_9,Carpino-Quercetum petraea Borza 1959,
A_10,Carpino Quercetum petraea Borza 1941,
A_11,Salici-Populetum (Soó 1927) Hueck 1931,
A_12,Calamagrostio-Salicetum cinereae Soó et Zolyomi in Soó 1955,
A_13,Fagetum bassarabicum Borza 1937,
A_14,Fageto-Carpinetum Gheideman 1964,
A_15,Querco (petraea)-Tilio-Fraxineto-Carpinetum Gheideman 1964,
A_16,Salicetum albae Isser 1926,
A_17,Paeonio peregrinae-Quercetum pubescenti (Sârbu 1982) Popescu et Sanda 1999,
A_18,Quercetum pedunculifloare Borza 1941,
A_19,"Tilio tomentosae-Fraxineto-Quercetum petraea Gheideman et al., 1964",
A_20,Tilio tomentosae-Fraxineto-Quercetum delechampii Sârbu 1979,
A_21,Bromo sterilis-Robinietum pseudoacaciae (Poćs 1954) Soó 1964,
A_22,"Cotino (coggygria)-Quercetum petraea Gheideman el al., 1964",
A_23,Quercetum robori-petraea Borza (1928) 1959,
A_24,"Quercetum (petraea)-cotinosum Gheideman el al., 1964",
A_25,Cotino-Quercetum pubescentis Soó 1932,
A_26,Quercetum pedunculifloare Borza 1937,
A_27,"Fraxineto-Quercetum-carpinosum Gheideman et al., 1964",
A_28,"Quercetum carpinosum-cotinosum Gheideman et al., 1964",
A_29,Querco (roboris)-petraea-Carpinetum Soó et Poćs (1931) 1957,
A_30,Quercetum (roboris)-petraea-Borza (1928) 1959,
